45: 63797149W
44: 66629501L
43: 53021196D
42: 61328047L
41: 30260433T
40: 32332441F
39: 19896724E
38: 68382342F
37: 68530762P
36: 65160950H
35: 05142515Z
34: 09915324R
33: 43652976B
32: 75951323X
31: 73724831X
30: 70289711D
29: 16567782P
28: 79282084A
27: 71711401T
26: 20062189W
25: 88070662M
24: 63300239F
23: 92957770G
22: 72947857E
21: 62773954P
20: 80495964N
19: 42969027J
18: 31772430T
17: 45391182S
16: 51231940S
15: 58980345L
14: 71825288Z
13: 87175487J
12: 52467256R
11: 74762633Y
10: 25175213B
09: 72342417B
08: 05872751T
07: 42695745V
06: 48333462C
05: 65580118B
04: 46338176F
03: 86493241Q
02: 36847390X
01: 97763717D
